date,sector,sentiment,coverage,headline_count,lagged_sentiment,sentiment_0_100
2021-08-09,Utilities,0.15199000000000001,0.6,4,0.06651,57.599500000000006
2021-08-10,Utilities,0.14616,0.6,3,0.15199000000000001,57.30800000000001
2021-08-11,Utilities,0.02732,0.4,3,0.14616,51.366
2021-08-12,Utilities,0.02411,0.4,3,0.02732,51.2055
2021-08-13,Utilities,0.14579999999999999,0.6,5,0.02411,57.29
2021-08-16,Utilities,0.11480333333333334,0.8,8,0.14579999999999999,55.74016666666667
2021-08-17,Utilities,0.059199999999999996,0.2,1,0.11480333333333334,52.959999999999994
2021-08-18,Utilities,0.0,0.0,0,0.059199999999999996,50.0
2021-08-19,Utilities,0.0,0.0,0,0.0,50.0
2021-08-20,Utilities,0.30866,0.6,3,0.0,65.43299999999999
2021-08-23,Utilities,-0.004159999999999997,0.6,5,0.30866,49.792
2021-08-24,Utilities,-0.04646666666666667,0.6,7,-0.004159999999999997,47.67666666666667
2021-08-25,Utilities,0.00464,0.4,2,-0.04646666666666667,50.232
2021-08-26,Utilities,0.0,0.0,0,0.00464,50.0
2021-08-27,Utilities,0.0,0.2,1,0.0,50.0
2021-08-30,Utilities,0.21960000000000002,0.6,5,0.0,60.980000000000004
2021-08-31,Utilities,-0.05464,0.4,4,0.21960000000000002,47.268
2021-09-01,Utilities,0.10398,0.6,5,-0.05464,55.199
2021-09-02,Utilities,0.11827999999999998,0.4,2,0.10398,55.913999999999994
2021-09-03,Utilities,0.0,0.2,1,0.11827999999999998,50.0
2021-09-07,Utilities,0.045766666666666664,0.8,8,0.0,52.288333333333334
2021-09-08,Utilities,0.0,0.4,2,0.045766666666666664,50.0
2021-09-09,Utilities,0.0,0.0,0,0.0,50.0
2021-09-10,Utilities,0.1445,0.4,3,0.0,57.225
2021-09-13,Utilities,0.04946,0.4,4,0.1445,52.473000000000006
2021-09-14,Utilities,0.0,0.4,3,0.04946,50.0
2021-09-15,Utilities,0.43908,0.8,4,0.0,71.95400000000001
2021-09-16,Utilities,0.10212000000000002,0.6,3,0.43908,55.106
2021-09-17,Utilities,-0.06364,0.2,1,0.10212000000000002,46.818
2021-09-20,Utilities,0.06789,0.4,3,-0.06364,53.3945
2021-09-21,Utilities,0.08481,0.2,2,0.06789,54.240500000000004
2021-09-22,Utilities,0.11834,0.2,2,0.08481,55.916999999999994
2021-09-23,Utilities,0.15151,0.4,3,0.11834,57.575500000000005
2021-09-24,Utilities,0.0,0.0,0,0.15151,50.0
2021-09-27,Utilities,0.24369000000000002,0.8,11,0.0,62.1845
2021-09-28,Utilities,-0.008800000000000002,0.6,4,0.24369000000000002,49.559999999999995
2021-09-29,Utilities,0.052669999999999995,0.2,2,-0.008800000000000002,52.6335
2021-09-30,Utilities,-0.07981333333333333,0.6,6,0.052669999999999995,46.00933333333334
2021-10-01,Utilities,0.0,0.6,3,-0.07981333333333333,50.0
2021-10-04,Utilities,-0.05553333333333334,0.4,4,0.0,47.223333333333336
2021-10-05,Utilities,0.01366,0.2,4,-0.05553333333333334,50.683
2021-10-06,Utilities,0.0,0.0,0,0.01366,50.0
2021-10-07,Utilities,0.09878,0.2,1,0.0,54.93900000000001
2021-10-08,Utilities,0.0,0.0,0,0.09878,50.0
2021-10-11,Utilities,0.15591666666666665,1.0,9,0.0,57.795833333333334
2021-10-12,Utilities,0.0,0.2,1,0.15591666666666665,50.0
2021-10-13,Utilities,-0.07636,0.4,2,0.0,46.182
2021-10-14,Utilities,-0.008579999999999999,0.2,2,-0.07636,49.571
2021-10-15,Utilities,0.16632,0.6,3,-0.008579999999999999,58.316
2021-10-18,Utilities,0.0679,0.4,3,0.16632,53.395
2021-10-19,Utilities,0.03612,1.0,6,0.0679,51.806
2021-10-20,Utilities,0.182548,0.6,7,0.03612,59.127399999999994
2021-10-21,Utilities,0.0,0.0,0,0.182548,50.0
2021-10-22,Utilities,0.14152,0.4,2,0.0,57.07600000000001
2021-10-25,Utilities,0.14616,0.4,4,0.14152,57.30800000000001
2021-10-26,Utilities,0.05464,0.4,2,0.14616,52.732
2021-10-27,Utilities,0.04404,0.6,4,0.05464,52.202000000000005
2021-10-28,Utilities,-0.055499999999999994,0.4,4,0.04404,47.225
2021-10-29,Utilities,0.05464,0.2,1,-0.055499999999999994,52.732
2021-11-01,Utilities,0.17616,0.6,3,0.05464,58.80800000000001
2021-11-02,Utilities,0.0,0.4,3,0.17616,50.0
2021-11-03,Utilities,0.010870000000000008,0.6,4,0.0,50.543499999999995
2021-11-04,Utilities,0.053654999999999994,0.6,8,0.010870000000000008,52.68275
2021-11-05,Utilities,0.07455333333333333,0.4,4,0.053654999999999994,53.727666666666664
2021-11-08,Utilities,0.05464,0.6,4,0.07455333333333333,52.732
2021-11-09,Utilities,-0.01259999999999999,0.8,5,0.05464,49.370000000000005
2021-11-10,Utilities,0.0,0.4,3,-0.01259999999999999,50.0
2021-11-11,Utilities,-0.00258,0.6,4,0.0,49.870999999999995
2021-11-12,Utilities,0.0843,0.2,1,-0.00258,54.215
2021-11-15,Utilities,0.31565,0.6,4,0.0843,65.7825
2021-11-16,Utilities,0.04526,0.4,2,0.31565,52.263000000000005
2021-11-17,Utilities,0.12738,0.4,2,0.04526,56.369
